,agent,time,event,next_position,travel_time,moving,waiting,task,position,picked_up_item,locked_item
0,140215394819904,0.0,Initial,,,0,0,0,140215394819088.0,,
1,140215394840928,0.0,Initial,,,0,0,0,140215394819088.0,,
2,140215394841168,0.0,Initial,,,0,0,0,140215394819088.0,,
3,140215394841600,0.0,Initial,,,0,0,0,140215394819088.0,,
4,140215394842032,0.0,Initial,,,0,0,0,140215394819088.0,,
5,140215394842464,0.0,Initial,,,0,0,0,140215394819088.0,,
6,140215394946928,0.0,Initial,,,0,0,0,140215394819520.0,,
7,140215394946400,0.0,Initial,,,0,0,0,140215394819520.0,,
8,140215394976096,0.0,Initial,,,0,0,0,140215394819520.0,,
9,140215394976528,0.0,Initial,,,0,0,0,140215394819520.0,,
10,140215394976960,0.0,Initial,,,0,0,0,140215394819520.0,,
11,140215394977392,0.0,Initial,,,0,0,0,140215394819520.0,,
12,140215394946928,40.03023010835771,start_task,,,0,0,1,140215394819520.0,,
13,140215394946928,40.03023010835771,pick_up_start,,,0,0,1,140215394819520.0,,140215394844480.0
14,140215394946400,40.124286332300365,start_task,,,0,0,1,140215394819520.0,,
15,140215394946400,40.124286332300365,pick_up_start,,,0,0,1,140215394819520.0,,140215394843808.0
16,140215394946928,40.130230108357715,pick_up_end,,,0,0,1,140215394819520.0,140215394844480.0,140215394844480.0
17,140215394946928,40.130230108357715,moving_start,140215394819088.0,0.5,1,0,1,,140215394844480.0,140215394844480.0
18,140215394946400,40.224286332300366,pick_up_end,,,0,0,1,140215394819520.0,140215394843808.0,140215394843808.0
19,140215394946400,40.224286332300366,moving_start,140215394819088.0,0.5,1,0,1,,140215394843808.0,140215394843808.0
20,140215394946928,40.630230108357715,moving_end,,,0,0,1,140215394819088.0,140215394844480.0,140215394844480.0
21,140215394946928,40.630230108357715,store_item_start,,,0,0,1,140215394819088.0,140215394844480.0,140215394844480.0
22,140215394946400,40.724286332300366,moving_end,,,0,0,1,140215394819088.0,140215394843808.0,140215394843808.0
23,140215394946400,40.724286332300366,store_item_start,,,0,0,1,140215394819088.0,140215394843808.0,140215394843808.0
24,140215394946928,40.730230108357716,store_item_end,,,0,0,1,140215394819088.0,,140215394844480.0
25,140215394819904,40.730230108357716,start_task,,,0,0,1,140215394819088.0,,
