,buffer,time,event,event_item,full,items_in_storage
0,140649312699920,0.0,Initial,,0,0
1,140649312700832,0.0,Initial,,0,0
2,140649312701552,0.0,Initial,,0,0
3,140649312699584,0.0,Initial,,0,0
4,140649310988128,0.0,Initial,,0,0
5,140649310988944,0.0,Initial,,0,0
6,140649310987072,0.0,Initial,,0,0
7,140649311006832,0.0,Initial,,0,0
8,140649311007408,0.0,Initial,,0,0
9,140649310989760,0.0,Initial,,0,0
10,140649311008800,0.0,Initial,,0,0
11,140649311009376,0.0,Initial,,0,0
12,140649311008416,0.0,Initial,,0,0
13,140649311010768,0.0,Initial,,0,0
14,140649311044176,0.0,Initial,,0,0
15,140649311010384,0.0,Initial,,0,0
16,140649311045568,0.0,Initial,,0,0
17,140649311046144,0.0,Initial,,0,0
18,140649311045616,0.0,Initial,,0,0
19,140649311047536,0.0,Initial,,0,0
20,140649311064560,0.0,Initial,,0,0
21,140649311047536,0.0,order_arrival,,0,1
22,140649311047536,0.1,item_picked_up,140649310988320.0,0,0
23,140649311010768,0.4666666666666667,item_stored,140649310988320.0,0,1
24,140649311010768,0.5666666666666667,item_picked_up,140649310988320.0,0,0
25,140649310988128,0.9,item_stored,140649310988320.0,0,1
26,140649310988128,1.0,item_picked_up,140649310988320.0,0,0
27,140649311047536,3.6,order_arrival,,0,1
28,140649311047536,3.966666666666667,item_picked_up,140649312700736.0,0,0
29,140649311010768,4.333333333333333,item_stored,140649312700736.0,0,1
30,140649311010768,4.666666666666666,item_picked_up,140649312700736.0,0,0
31,140649312700832,4.966666666666666,item_stored,140649312700736.0,0,1
32,140649312700832,5.0666666666666655,item_picked_up,140649312700736.0,0,0
33,140649311047536,7.2,order_arrival,,0,1
34,140649311047536,7.566666666666666,item_picked_up,140649312699728.0,0,0
35,140649311010768,7.933333333333333,item_stored,140649312699728.0,0,1
36,140649311010768,8.233333333333333,item_picked_up,140649312699728.0,0,0
37,140649310988128,8.566666666666665,item_stored,140649312699728.0,0,1
38,140649310988128,8.799999999999997,item_picked_up,140649312699728.0,0,0
39,140649311047536,10.8,order_arrival,,0,1
40,140649311047536,11.166666666666668,item_picked_up,140649315119168.0,0,0
41,140649311010768,11.533333333333335,item_stored,140649315119168.0,0,1
42,140649311010768,11.866666666666667,item_picked_up,140649315119168.0,0,0
43,140649312700832,12.166666666666666,item_stored,140649315119168.0,0,1
44,140649312700832,12.366666666666665,item_picked_up,140649315119168.0,0,0
45,140649311047536,14.4,order_arrival,,0,1
46,140649311047536,14.766666666666667,item_picked_up,140649313767920.0,0,0
47,140649311010768,15.133333333333335,item_stored,140649313767920.0,0,1
48,140649311010768,15.433333333333334,item_picked_up,140649313767920.0,0,0
49,140649312700832,15.733333333333333,item_stored,140649313767920.0,0,1
50,140649310988944,15.793333333333333,item_stored,140649310988320.0,0,1
51,140649312700832,15.933333333333332,item_picked_up,140649313767920.0,0,0
52,140649310988944,16.086666666666666,item_picked_up,140649310988320.0,0,0
53,140649311044176,16.42,item_stored,140649310988320.0,0,1
54,140649311044176,17.293333333333337,item_picked_up,140649310988320.0,0,0
55,140649311064560,17.660000000000004,item_stored,140649310988320.0,0,0
56,140649311047536,18.0,order_arrival,,0,1
57,140649311047536,18.713333333333335,item_picked_up,140649310989520.0,0,0
58,140649311010768,19.080000000000002,item_stored,140649310989520.0,0,1
59,140649311010768,19.52666666666667,item_picked_up,140649310989520.0,0,0
60,140649310988128,19.860000000000007,item_stored,140649310989520.0,0,1
61,140649310988128,20.09333333333334,item_picked_up,140649310989520.0,0,0
62,140649311047536,21.6,order_arrival,,0,1
63,140649311047536,21.96666666666667,item_picked_up,140649313425920.0,0,0
64,140649311010768,22.333333333333336,item_stored,140649313425920.0,0,1
65,140649311010768,22.66666666666667,item_picked_up,140649313425920.0,0,0
66,140649312700832,22.966666666666672,item_stored,140649313425920.0,0,1
67,140649312700832,23.23333333333334,item_picked_up,140649313425920.0,0,0
68,140649310988944,23.660000000000004,item_stored,140649312699728.0,0,1
69,140649310988944,23.953333333333337,item_picked_up,140649312699728.0,0,0
70,140649311044176,24.286666666666672,item_stored,140649312699728.0,0,1
71,140649311044176,25.160000000000007,item_picked_up,140649312699728.0,0,0
72,140649311047536,25.2,order_arrival,,0,1
73,140649311047536,25.3,item_picked_up,140649312700400.0,0,0
74,140649311045568,25.653333333333343,item_stored,140649312699728.0,0,1
75,140649311010768,25.666666666666668,item_stored,140649312700400.0,0,1
76,140649311045568,25.753333333333345,item_picked_up,140649312699728.0,0,0
77,140649311006832,26.020000000000014,item_stored,140649312699728.0,1,1
78,140649311010768,26.113333333333337,item_picked_up,140649312700400.0,0,0
79,140649311006832,26.120000000000015,item_picked_up,140649312699728.0,0,0
