,item,time,event,started,over_due,blocked,tasks_finished,completed,picked_up,transportation,processing,wait_for_repair,tasks_remaining,cell,position,position_type,picked_up_by,locked_by
0,140347423536752,40.03023010835771,order_arrival,1,0,0,0,0,0,0,0,0,1,140347423616016.0,140347423539152.0,InterfaceBuffer,,
1,140347423536752,40.03023010835771,locked,1,0,0,0,0,0,0,0,0,1,140347423616016.0,140347423539152.0,InterfaceBuffer,,140347423614576.0
2,140347423536080,40.124286332300365,order_arrival,1,0,0,0,0,0,0,0,0,1,140347423616016.0,140347423539152.0,InterfaceBuffer,,
3,140347423536080,40.124286332300365,locked,1,0,0,0,0,0,0,0,0,1,140347423616016.0,140347423539152.0,InterfaceBuffer,,140347423614720.0
4,140347423536752,40.130230108357715,picked_up,1,0,0,0,0,1,0,0,0,1,140347423616016.0,,None,140347423614576.0,140347423614576.0
5,140347423536752,40.130230108357715,transportation_start,1,0,0,0,0,1,1,0,0,1,140347423616016.0,,None,140347423614576.0,140347423614576.0
6,140347423536080,40.224286332300366,picked_up,1,0,0,0,0,1,0,0,0,1,140347423616016.0,,None,140347423614720.0,140347423614720.0
7,140347423536080,40.224286332300366,transportation_start,1,0,0,0,0,1,1,0,0,1,140347423616016.0,,None,140347423614720.0,140347423614720.0
8,140347423536752,40.880230108357715,transportation_end,1,0,0,0,0,1,0,0,0,1,140347423616016.0,140347423538432.0,InterfaceBuffer,140347423614576.0,140347423614576.0
9,140347423536080,40.974286332300366,transportation_end,1,0,0,0,0,1,0,0,0,1,140347423616016.0,140347423535600.0,InterfaceBuffer,140347423614720.0,140347423614720.0
10,140347423536752,40.980230108357716,cell_change,1,0,0,0,0,1,0,0,0,1,140347423616016.0,140347423538432.0,InterfaceBuffer,140347423614576.0,140347423614576.0
11,140347423536752,40.980230108357716,put_down,1,0,0,0,0,0,0,0,0,1,140347423535936.0,140347423538432.0,InterfaceBuffer,,140347423614576.0
12,140347423536752,40.980230108357716,unlocked,1,0,0,0,0,0,0,0,0,1,140347423535936.0,140347423538432.0,InterfaceBuffer,,
13,140347423536752,40.980230108357716,locked,1,0,0,0,0,0,0,0,0,1,140347423535936.0,140347423538432.0,InterfaceBuffer,,140347423538768.0
14,140347423536080,41.07428633230037,cell_change,1,0,0,0,0,1,0,0,0,1,140347423616016.0,140347423535600.0,InterfaceBuffer,140347423614720.0,140347423614720.0
15,140347423536080,41.07428633230037,put_down,1,0,0,0,0,0,0,0,0,1,140347423537472.0,140347423535600.0,InterfaceBuffer,,140347423614720.0
16,140347423536080,41.07428633230037,unlocked,1,0,0,0,0,0,0,0,0,1,140347423537472.0,140347423535600.0,InterfaceBuffer,,
17,140347423536080,41.07428633230037,locked,1,0,0,0,0,0,0,0,0,1,140347423537472.0,140347423535600.0,InterfaceBuffer,,140347423536800.0
18,140347423536752,41.08023010835772,picked_up,1,0,0,0,0,1,0,0,0,1,140347423535936.0,,None,140347423538768.0,140347423538768.0
19,140347423536752,41.08023010835772,transportation_start,1,0,0,0,0,1,1,0,0,1,140347423535936.0,,None,140347423538768.0,140347423538768.0
20,140347423536080,41.17428633230037,picked_up,1,0,0,0,0,1,0,0,0,1,140347423537472.0,,None,140347423536800.0,140347423536800.0
21,140347423536080,41.17428633230037,transportation_start,1,0,0,0,0,1,1,0,0,1,140347423537472.0,,None,140347423536800.0,140347423536800.0
22,140347423536752,41.58023010835772,transportation_end,1,0,0,0,0,1,0,0,0,1,140347423535936.0,140347423537376.0,Machine,140347423538768.0,140347423538768.0
23,140347423536080,41.67428633230037,transportation_end,1,0,0,0,0,1,0,0,0,1,140347423537472.0,140347423537040.0,Machine,140347423536800.0,140347423536800.0
24,140347423536752,41.68023010835772,put_down,1,0,0,0,0,0,0,0,0,1,140347423535936.0,140347423537376.0,Machine,,140347423538768.0
25,140347423536752,41.68023010835772,unlocked,1,0,0,0,0,0,0,0,0,1,140347423535936.0,140347423537376.0,Machine,,
26,140347423536080,41.77428633230037,put_down,1,0,0,0,0,0,0,0,0,1,140347423537472.0,140347423537040.0,Machine,,140347423536800.0
27,140347423536080,41.77428633230037,unlocked,1,0,0,0,0,0,0,0,0,1,140347423537472.0,140347423537040.0,Machine,,
28,140347423613136,42.264563678118265,order_arrival,1,0,0,0,0,0,0,0,0,1,140347423616016.0,140347423539152.0,InterfaceBuffer,,
29,140347423613136,42.264563678118265,locked,1,0,0,0,0,0,0,0,0,1,140347423616016.0,140347423539152.0,InterfaceBuffer,,140347423614576.0
30,140347423613136,43.114563678118266,picked_up,1,0,0,0,0,1,0,0,0,1,140347423616016.0,,None,140347423614576.0,140347423614576.0
31,140347423613136,43.114563678118266,transportation_start,1,0,0,0,0,1,1,0,0,1,140347423616016.0,,None,140347423614576.0,140347423614576.0
32,140347423613136,43.864563678118266,transportation_end,1,0,0,0,0,1,0,0,0,1,140347423616016.0,140347423538432.0,InterfaceBuffer,140347423614576.0,140347423614576.0
33,140347423613136,43.96456367811827,cell_change,1,0,0,0,0,1,0,0,0,1,140347423616016.0,140347423538432.0,InterfaceBuffer,140347423614576.0,140347423614576.0
34,140347423613136,43.96456367811827,put_down,1,0,0,0,0,0,0,0,0,1,140347423535936.0,140347423538432.0,InterfaceBuffer,,140347423614576.0
35,140347423613136,43.96456367811827,unlocked,1,0,0,0,0,0,0,0,0,1,140347423535936.0,140347423538432.0,InterfaceBuffer,,
36,140347423613136,43.96456367811827,locked,1,0,0,0,0,0,0,0,0,1,140347423535936.0,140347423538432.0,InterfaceBuffer,,140347423538768.0
37,140347423613136,44.56456367811827,picked_up,1,0,0,0,0,1,0,0,0,1,140347423535936.0,,None,140347423538768.0,140347423538768.0
38,140347423613136,44.56456367811827,transportation_start,1,0,0,0,0,1,1,0,0,1,140347423535936.0,,None,140347423538768.0,140347423538768.0
39,140347423613136,45.06456367811827,transportation_end,1,0,0,0,0,1,0,0,0,1,140347423535936.0,140347423537376.0,Machine,140347423538768.0,140347423538768.0
40,140347423613136,45.16456367811827,put_down,1,0,0,0,0,0,0,0,0,1,140347423535936.0,140347423537376.0,Machine,,140347423538768.0
41,140347423613136,45.16456367811827,unlocked,1,0,0,0,0,0,0,0,0,1,140347423535936.0,140347423537376.0,Machine,,
42,140347423536752,46.68023010835772,processing_start,1,0,0,0,0,0,0,1,0,1,140347423535936.0,140347423537376.0,Machine,,
43,140347423536080,46.77428633230037,processing_start,1,0,0,0,0,0,0,1,0,1,140347423537472.0,140347423537040.0,Machine,,
44,140347423536752,57.87283187974394,processing_finished,1,0,0,1,0,0,0,0,0,0,140347423535936.0,140347423537376.0,Machine,,
45,140347423536752,57.97283187974394,locked,1,0,0,1,0,0,0,0,0,0,140347423535936.0,140347423537376.0,Machine,,140347423538768.0
46,140347423536752,58.072831879743944,picked_up,1,0,0,1,0,1,0,0,0,0,140347423535936.0,,None,140347423538768.0,140347423538768.0
47,140347423536752,58.072831879743944,transportation_start,1,0,0,1,0,1,1,0,0,0,140347423535936.0,,None,140347423538768.0,140347423538768.0
48,140347423536752,58.572831879743944,transportation_end,1,0,0,1,0,1,0,0,0,0,140347423535936.0,140347423538048.0,InterfaceBuffer,140347423538768.0,140347423538768.0
49,140347423536752,58.672831879743946,cell_change,1,0,0,1,0,1,0,0,0,0,140347423535936.0,140347423538048.0,InterfaceBuffer,140347423538768.0,140347423538768.0
50,140347423536752,58.672831879743946,put_down,1,0,0,1,0,0,0,0,0,0,140347423616016.0,140347423538048.0,InterfaceBuffer,,140347423538768.0
51,140347423536752,58.672831879743946,unlocked,1,0,0,1,0,0,0,0,0,0,140347423616016.0,140347423538048.0,InterfaceBuffer,,
52,140347423536752,58.672831879743946,locked,1,0,0,1,0,0,0,0,0,0,140347423616016.0,140347423538048.0,InterfaceBuffer,,140347423614576.0
53,140347423536080,59.152473761926345,processing_finished,1,0,0,1,0,0,0,0,0,0,140347423537472.0,140347423537040.0,Machine,,
54,140347423536080,59.252473761926346,locked,1,0,0,1,0,0,0,0,0,0,140347423537472.0,140347423537040.0,Machine,,140347423536800.0
55,140347423536080,59.35247376192635,picked_up,1,0,0,1,0,1,0,0,0,0,140347423537472.0,,None,140347423536800.0,140347423536800.0
56,140347423536080,59.35247376192635,transportation_start,1,0,0,1,0,1,1,0,0,0,140347423537472.0,,None,140347423536800.0,140347423536800.0
57,140347423536080,59.85247376192635,transportation_end,1,0,0,1,0,1,0,0,0,0,140347423537472.0,140347423535888.0,InterfaceBuffer,140347423536800.0,140347423536800.0
58,140347423536080,59.95247376192635,cell_change,1,0,0,1,0,1,0,0,0,0,140347423537472.0,140347423535888.0,InterfaceBuffer,140347423536800.0,140347423536800.0
59,140347423536080,59.95247376192635,put_down,1,0,0,1,0,0,0,0,0,0,140347423616016.0,140347423535888.0,InterfaceBuffer,,140347423536800.0
60,140347423536080,59.95247376192635,unlocked,1,0,0,1,0,0,0,0,0,0,140347423616016.0,140347423535888.0,InterfaceBuffer,,
61,140347423536080,59.95247376192635,locked,1,0,0,1,0,0,0,0,0,0,140347423616016.0,140347423535888.0,InterfaceBuffer,,140347423614720.0
62,140347423536752,59.97283187974395,picked_up,1,0,0,1,0,1,0,0,0,0,140347423616016.0,,None,140347423614576.0,140347423614576.0
63,140347423536752,59.97283187974395,transportation_start,1,0,0,1,0,1,1,0,0,0,140347423616016.0,,None,140347423614576.0,140347423614576.0
64,140347423536752,60.72283187974395,transportation_end,1,0,0,1,0,1,0,0,0,0,140347423616016.0,140347423613760.0,InterfaceBuffer,140347423614576.0,140347423614576.0
65,140347423536752,60.82283187974395,cell_change,1,0,0,1,0,1,0,0,0,0,140347423616016.0,140347423613760.0,InterfaceBuffer,140347423614576.0,140347423614576.0
66,140347423536752,60.82283187974395,put_down,1,0,0,1,1,0,0,0,0,0,,,None,,140347423614576.0
67,140347423536752,60.82283187974395,unlocked,1,0,0,1,1,0,0,0,0,0,,,None,,
68,140347423536080,61.25247376192635,picked_up,1,0,0,1,0,1,0,0,0,0,140347423616016.0,,None,140347423614720.0,140347423614720.0
69,140347423536080,61.25247376192635,transportation_start,1,0,0,1,0,1,1,0,0,0,140347423616016.0,,None,140347423614720.0,140347423614720.0
70,140347423536080,62.00247376192635,transportation_end,1,0,0,1,0,1,0,0,0,0,140347423616016.0,140347423613760.0,InterfaceBuffer,140347423614720.0,140347423614720.0
71,140347423536080,62.102473761926355,cell_change,1,0,0,1,0,1,0,0,0,0,140347423616016.0,140347423613760.0,InterfaceBuffer,140347423614720.0,140347423614720.0
72,140347423536080,62.102473761926355,put_down,1,0,0,1,1,0,0,0,0,0,,,None,,140347423614720.0
73,140347423536080,62.102473761926355,unlocked,1,0,0,1,1,0,0,0,0,0,,,None,,
74,140347423613136,62.97283187974394,processing_start,1,0,0,0,0,0,0,1,0,1,140347423535936.0,140347423537376.0,Machine,,
75,140347423613136,69.83387397172825,processing_finished,1,0,0,1,0,0,0,0,0,0,140347423535936.0,140347423537376.0,Machine,,
76,140347423613136,69.93387397172825,locked,1,0,0,1,0,0,0,0,0,0,140347423535936.0,140347423537376.0,Machine,,140347423538768.0
77,140347423613136,70.53387397172824,picked_up,1,0,0,1,0,1,0,0,0,0,140347423535936.0,,None,140347423538768.0,140347423538768.0
78,140347423613136,70.53387397172824,transportation_start,1,0,0,1,0,1,1,0,0,0,140347423535936.0,,None,140347423538768.0,140347423538768.0
79,140347423613136,71.03387397172824,transportation_end,1,0,0,1,0,1,0,0,0,0,140347423535936.0,140347423538048.0,InterfaceBuffer,140347423538768.0,140347423538768.0
80,140347423613136,71.13387397172824,cell_change,1,0,0,1,0,1,0,0,0,0,140347423535936.0,140347423538048.0,InterfaceBuffer,140347423538768.0,140347423538768.0
81,140347423613136,71.13387397172824,put_down,1,0,0,1,0,0,0,0,0,0,140347423616016.0,140347423538048.0,InterfaceBuffer,,140347423538768.0
