5,16.65
1,Interface-Out,16.65
2,Interface-In,16.65
6,Input,18.57
0,Interface-In,18.57
2,Interface-Out,22.83
7,Output,22.83
6,Input,24.14
0,Interface-In,24.14
0,Interface-Out,26.69
7,Output,26.69
8,Storage,30.91
0,Interface-In,30.91
0,Interface-Out,35.36
3,Interface-In,35.36
6,Input,39.0
8,Storage,39.0
3,Interface-Out,41.39
7,Output,41.39
1,Interface-Out,43.43
2,Interface-In,43.43
2,Interface-Out,44.95
7,Output,44.95
8,Storage,47.63
0,Interface-In,47.63
6,Input,48.56
1,Interface-In,48.56
2,Interface-Out,49.6
7,Output,49.6
3,Interface-Out,50.46
7,Output,50.46
1,Interface-Out,52.54
2,Interface-In,52.54
0,Interface-Out,53.92
7,Output,53.92
2,Interface-Out,54.74
7,Output,54.74
6,Input,55.88
8,Storage,55.88
1,Interface-Out,56.99
2,Interface-In,56.99
2,Interface-Out,58.59
7,Output,58.59
0,Interface-Out,59.5
3,Interface-In,59.5
8,Storage,60.32
0,Interface-In,60.32
1,Interface-Out,61.39
2,Interface-In,61.39
6,Input,63.14
8,Storage,63.14
0,Interface-Out,65.18
3,Interface-In,65.18
8,Storage,65.77
0,Interface-In,65.77
1,Interface-Out,66.24
2,Interface-In,66.24
6,Input,66.86
8,Storage,66.86
1,Interface-Out,70.37
7,Output,70.37
6,Input,71.13
8,Storage,71.13
3,Interface-Out,72.25
7,Output,72.25
6,Input,73.01
1,Interface-In,73.01
0,Interface-Out,75.4
3,Interface-In,75.4
6,Input,76.02
8,Storage,76.02
3,Interface-Out,77.25
7,Output,77.25
0,Interface-Out,80.52
3,Interface-In,80.52
3,Interface-Out,81.44
7,Output,81.44
6,Input,82.35
8,Storage,82.35
0,Interface-Out,86.04
3,Interface-In,86.04
6,Input,86.63
8,Storage,86.63
1,Interface-Out,87.86
2,Interface-In,87.86
1,Interface-Out,91.56
2,Interface-In,91.56
8,Storage,92.15
0,Interface-In,92.15
3,Interface-Out,92.62
7,Output,92.62
2,Interface-Out,93.58
7,Output,93.58
0,Interface-Out,96.48
3,Interface-In,96.48
6,Input,97.3
8,Storage,97.3
6,Input,98.54
1,Interface-In,98.54
6,Input,99.74
1,Interface-In,99.74
1,Interface-Out,100.8
7,Output,100.8
6,Input,102.14
1,Interface-In,102.14
3,Interface-Out,103.12
7,Output,103.12
2,Interface-Out,103.98
7,Output,103.98
3,Interface-Out,107.85
7,Output,107.85
1,Interface-Out,109.39
7,Output,109.39
8,Storage,113.17
0,Interface-In,113.17
3,Interface-Out,114.1
7,Output,114.1
1,Interface-Out,118.37
2,Interface-In,118.37
2,Interface-Out,120.2
7,Output,120.2
0,Interface-Out,123.08
3,Interface-In,123.08
2,Interface-Out,124.79
7,Output,124.79
6,Input,125.7
8,Storage,125.7
1,Interface-Out,127.35
7,Output,127.35
8,Storage,129.08
0,Interface-In,129.08
3,Interface-Out,130.02
7,Output,130.02
6,Input,134.3
8,Storage,134.3
3,Interface-Out,135.41
7,Output,135.41
8,Storage,139.69
0,Interface-In,139.69
6,Input,140.62
1,Interface-In,140.62
8,Storage,142.79
0,Interface-In,142.79
6,Input,143.65
1,Interface-In,143.65
6,Input,144.68
1,Interface-In,144.68
6,Input,145.75
1,Interface-In,145.75
8,Storage,151.2
0,Interface-In,151.2
6,Input,151.7
8,Storage,151.7
1,Interface-Out,152.87
2,Interface-In,152.87
6,Input,153.4
1,Interface-In,153.4
6,Input,154.5
1,Interface-In,154.5
3,Interface-Out,155.79
7,Output,155.79
8,Storage,159.53
0,Interface-In,159.53
8,Storage,160.46
0,Interface-In,160.46
6,Input,160.99
1,Interface-In,160.99
1,Interface-Out,162.03
2,Interface-In,162.03
6,Input,162.73
1,Interface-In,162.73
0,Interface-Out,165.64
7,Output,165.64
8,Storage,167.95
0,Interface-In,167.95
6,Input,168.88
8,Storage,168.88
2,Interface-Out,170.05
7,Output,170.05
1,Interface-Out,170.82
2,Interface-In,170.82
0,Interface-Out,171.64
7,Output,171.64
2,Interface-Out,172.47
7,Output,172.47
8,Storage,176.6
0,Interface-In,176.6
2,Interface-Out,177.54
7,Output,177.54
1,Interface-Out,178.64
2,Interface-In,178.64
6,Input,179.47
8,Storage,179.47
6,Input,180.7
1,Interface-In,180.7
2,Interface-Out,181.9
7,Output,181.9
6,Input,182.76
1,Interface-In,182.76
6,Input,183.74
1,Interface-In,183.74
8,Storage,185.43
0,Interface-In,185.43
2,Interface-Out,186.01
7,Output,186.01
1,Interface-Out,187.62
2,Interface-In,187.62
6,Input,192.11
8,Storage,192.11
0,Interface-Out,193.35
3,Interface-In,193.35
6,Input,196.6
8,Storage,196.6
0,Interface-Out,197.84
3,Interface-In,197.84
6,Input,201.09
8,Storage,201.09
6,Input,202.33
1,Interface-In,202.33
0,Interface-Out,203.53
3,Interface-In,203.53
6,Input,204.15
1,Interface-In,204.15
6,Input,205.25
1,Interface-In,205.25
6,Input,206.31
8,Storage,206.31
1,Interface-Out,210.07
7,Output,210.07
6,Input,212.71
8,Storage,212.71
6,Input,213.82
1,Interface-In,213.82
3,Interface-Out,215.02
7,Output,215.02
1,Interface-Out,215.88
7,Output,215.88
6,Input,216.95
8,Storage,216.95
1,Interface-Out,219.05
7,Output,219.05
8,Storage,221.72
0,Interface-In,221.72
6,Input,222.65
1,Interface-In,222.65
0,Interface-Out,229.48
3,Interface-In,229.48
