5,10.61
1,Interface-Out,10.61
3,Interface-In,10.61
6,Input,15.0
0,Interface-In,15.0
4,Interface-Out,20.77
7,Output,20.77
3,Interface-Out,21.67
4,Interface-In,21.67
2,Interface-Out,26.9
4,Interface-In,26.9
2,Interface-Out,34.75
4,Interface-In,34.75
6,Input,37.5
1,Interface-In,37.5
0,Interface-Out,39.23
2,Interface-In,39.23
2,Interface-Out,40.0
4,Interface-In,40.0
3,Interface-Out,43.0
4,Interface-In,43.0
0,Interface-Out,44.55
2,Interface-In,44.55
6,Input,45.21
1,Interface-In,45.21
6,Input,47.5
0,Interface-In,47.5
0,Interface-Out,50.01
2,Interface-In,50.01
4,Interface-Out,50.81
7,Output,50.81
2,Interface-Out,51.71
4,Interface-In,51.71
6,Input,52.62
0,Interface-In,52.62
1,Interface-Out,55.05
3,Interface-In,55.05
0,Interface-Out,55.64
2,Interface-In,55.64
4,Interface-Out,56.54
7,Output,56.54
6,Input,57.5
1,Interface-In,57.5
1,Interface-Out,59.68
4,Interface-In,59.68
0,Interface-Out,60.71
2,Interface-In,60.71
3,Interface-Out,61.93
4,Interface-In,61.93
6,Input,62.61
0,Interface-In,62.61
4,Interface-Out,65.09
7,Output,65.09
0,Interface-Out,66.03
2,Interface-In,66.03
4,Interface-Out,68.14
7,Output,68.14
3,Interface-Out,70.08
4,Interface-In,70.08
4,Interface-Out,70.99
7,Output,70.99
6,Input,72.5
0,Interface-In,72.5
4,Interface-Out,73.58
7,Output,73.58
6,Input,75.0
0,Interface-In,75.0
0,Interface-Out,76.67
2,Interface-In,76.67
6,Input,77.5
1,Interface-In,77.5
6,Input,80.0
0,Interface-In,80.0
1,Interface-Out,81.99
4,Interface-In,81.99
4,Interface-Out,82.58
7,Output,82.58
3,Interface-Out,84.04
4,Interface-In,84.04
6,Input,85.0
1,Interface-In,85.0
6,Input,87.5
0,Interface-In,87.5
2,Interface-Out,88.53
4,Interface-In,88.53
4,Interface-Out,90.56
7,Output,90.56
0,Interface-Out,92.63
2,Interface-In,92.63
4,Interface-Out,93.46
7,Output,93.46
1,Interface-Out,95.46
7,Output,95.46
0,Interface-Out,97.82
2,Interface-In,97.82
4,Interface-Out,98.99
7,Output,98.99
6,Input,100.0
0,Interface-In,100.0
6,Input,102.5
1,Interface-In,102.5
2,Interface-Out,103.91
4,Interface-In,103.91
4,Interface-Out,104.75
7,Output,104.75
4,Interface-Out,108.31
7,Output,108.31
2,Interface-Out,109.44
4,Interface-In,109.44
7,None,110.35
7,None,110.35
3,Interface-Out,110.57
4,Interface-In,110.57
7,None,111.25
7,None,111.25
6,Input,112.5
0,Interface-In,112.5
0,Interface-Out,113.78
