5,0.0
6,Input,0.0
1,Interface-In,0.0
6,Input,2.5
1,Interface-In,2.5
6,Input,5.0
0,Interface-In,5.0
6,Input,7.5
1,Interface-In,7.5
6,Input,10.0
0,Interface-In,10.0
6,Input,12.5
0,Interface-In,12.5
1,Interface-Out,14.97
3,Interface-In,14.97
3,Interface-Out,16.66
4,Interface-In,16.66
6,Input,17.5
1,Interface-In,17.5
6,Input,20.0
1,Interface-In,20.0
0,Interface-Out,21.19
2,Interface-In,21.19
6,Input,22.5
1,Interface-In,22.5
6,Input,25.0
0,Interface-In,25.0
4,Interface-Out,26.14
7,Output,26.14
6,Input,27.5
0,Interface-In,27.5
0,Interface-Out,28.73
2,Interface-In,28.73
6,Input,30.0
1,Interface-In,30.0
4,Interface-Out,31.15
7,Output,31.15
6,Input,32.5
0,Interface-In,32.5
0,Interface-Out,33.98
2,Interface-In,33.98
6,Input,35.0
0,Interface-In,35.0
1,Interface-Out,37.09
3,Interface-In,37.09
4,Interface-Out,38.99
7,Output,38.99
6,Input,40.0
0,Interface-In,40.0
1,Interface-Out,41.72
3,Interface-In,41.72
6,Input,42.5
1,Interface-In,42.5
4,Interface-Out,44.38
7,Output,44.38
2,Interface-Out,45.24
4,Interface-In,45.24
1,Interface-Out,46.21
3,Interface-In,46.21
4,Interface-Out,47.21
7,Output,47.21
3,Interface-Out,48.12
4,Interface-In,48.12
6,Input,50.0
1,Interface-In,50.0
1,Interface-Out,51.1
3,Interface-In,51.1
3,Interface-Out,52.12
4,Interface-In,52.12
4,Interface-Out,52.97
7,Output,52.97
6,Input,55.0
0,Interface-In,55.0
2,Interface-Out,56.03
4,Interface-In,56.03
3,Interface-Out,57.34
4,Interface-In,57.34
4,Interface-Out,59.43
7,Output,59.43
6,Input,60.34
1,Interface-In,60.34
2,Interface-Out,61.52
4,Interface-In,61.52
4,Interface-Out,62.26
7,Output,62.26
1,Interface-Out,64.03
3,Interface-In,64.03
6,Input,65.0
1,Interface-In,65.0
2,Interface-Out,66.74
4,Interface-In,66.74
6,Input,67.5
0,Interface-In,67.5
1,Interface-Out,68.57
3,Interface-In,68.57
6,Input,70.0
1,Interface-In,70.0
0,Interface-Out,71.29
2,Interface-In,71.29
2,Interface-Out,72.08
4,Interface-In,72.08
1,Interface-Out,73.01
7,Output,73.01
3,Interface-Out,74.67
4,Interface-In,74.67
4,Interface-Out,76.41
7,Output,76.41
