5,16.65
1,Interface-Out,16.65
2,Interface-In,16.65
6,Input,18.57
0,Interface-In,18.57
2,Interface-Out,22.83
7,Output,22.83
6,Input,24.14
0,Interface-In,24.14
0,Interface-Out,26.69
7,Output,26.69
8,Storage,30.91
0,Interface-In,30.91
0,Interface-Out,35.36
3,Interface-In,35.36
8,Storage,38.34
0,Interface-In,38.34
6,Input,39.0
0,Interface-In,39.0
3,Interface-Out,41.39
7,Output,41.39
0,Interface-Out,43.41
3,Interface-In,43.41
6,Input,44.57
1,Interface-In,44.57
8,Storage,47.54
0,Interface-In,47.54
6,Input,48.29
1,Interface-In,48.29
8,Storage,49.32
0,Interface-In,49.32
2,Interface-Out,50.08
7,Output,50.08
1,Interface-Out,52.54
2,Interface-In,52.54
0,Interface-Out,53.92
7,Output,53.92
3,Interface-Out,54.74
7,Output,54.74
8,Storage,55.88
0,Interface-In,55.88
1,Interface-Out,56.9
2,Interface-In,56.9
6,Input,59.43
8,Storage,59.43
8,Storage,60.66
0,Interface-In,60.66
1,Interface-Out,61.39
2,Interface-In,61.39
2,Interface-Out,63.55
7,Output,63.55
0,Interface-Out,65.18
3,Interface-In,65.18
3,Interface-Out,66.0
7,Output,66.0
6,Input,66.91
8,Storage,66.91
1,Interface-Out,70.37
7,Output,70.37
6,Input,71.13
1,Interface-In,71.13
6,Input,72.43
1,Interface-In,72.43
0,Interface-Out,75.4
3,Interface-In,75.4
6,Input,76.14
1,Interface-In,76.14
0,Interface-Out,80.52
3,Interface-In,80.52
3,Interface-Out,81.42
7,Output,81.42
1,Interface-Out,82.32
2,Interface-In,82.32
0,Interface-Out,86.04
3,Interface-In,86.04
6,Input,86.69
0,Interface-In,86.69
6,Input,87.76
1,Interface-In,87.76
0,Interface-Out,91.36
3,Interface-In,91.36
6,Input,91.98
0,Interface-In,91.98
2,Interface-Out,93.6
7,Output,93.6
6,Input,97.13
0,Interface-In,97.13
6,Input,98.08
1,Interface-In,98.08
6,Input,99.11
1,Interface-In,99.11
6,Input,100.29
1,Interface-In,100.29
6,Input,102.14
1,Interface-In,102.14
8,Storage,103.21
0,Interface-In,103.21
2,Interface-Out,103.71
7,Output,103.71
1,Interface-Out,104.74
7,Output,104.74
6,Input,108.41
0,Interface-In,108.41
3,Interface-Out,113.0
7,Output,113.0
1,Interface-Out,113.89
2,Interface-In,113.89
8,Storage,117.96
0,Interface-In,117.96
6,Input,118.42
8,Storage,118.42
0,Interface-Out,123.08
3,Interface-In,123.08
8,Storage,123.77
0,Interface-In,123.77
3,Interface-Out,124.24
7,Output,124.24
6,Input,125.13
8,Storage,125.13
6,Input,126.59
1,Interface-In,126.59
3,Interface-Out,129.0
7,Output,129.0
8,Storage,134.36
0,Interface-In,134.36
3,Interface-Out,135.3
7,Output,135.3
6,Input,136.19
1,Interface-In,136.19
6,Input,140.06
0,Interface-In,140.06
6,Input,141.1
1,Interface-In,141.1
8,Storage,142.13
0,Interface-In,142.13
6,Input,143.12
1,Interface-In,143.12
6,Input,144.15
1,Interface-In,144.15
6,Input,145.22
1,Interface-In,145.22
2,Interface-Out,147.84
7,Output,147.84
6,Input,152.11
0,Interface-In,152.11
1,Interface-Out,153.06
2,Interface-In,153.06
6,Input,153.64
1,Interface-In,153.64
0,Interface-Out,155.13
7,Output,155.13
6,Input,159.21
0,Interface-In,159.21
6,Input,160.22
1,Interface-In,160.22
1,Interface-Out,161.25
2,Interface-In,161.25
1,Interface-Out,165.71
2,Interface-In,165.71
6,Input,166.3
0,Interface-In,166.3
2,Interface-Out,172.34
7,Output,172.34
6,Input,173.23
1,Interface-In,173.23
6,Input,176.6
0,Interface-In,176.6
2,Interface-Out,177.64
7,Output,177.64
8,Storage,181.32
0,Interface-In,181.32
6,Input,182.25
8,Storage,182.25
6,Input,183.42
1,Interface-In,183.42
6,Input,184.62
1,Interface-In,184.62
6,Input,185.68
1,Interface-In,185.68
6,Input,186.75
1,Interface-In,186.75
6,Input,187.82
8,Storage,187.82
3,Interface-Out,189.02
7,Output,189.02
6,Input,189.78
8,Storage,189.78
1,Interface-Out,192.72
7,Output,192.72
0,Interface-Out,197.62
3,Interface-In,197.62
3,Interface-Out,198.45
7,Output,198.45
2,Interface-Out,203.13
7,Output,203.13
8,Storage,204.26
0,Interface-In,204.26
6,Input,205.19
1,Interface-In,205.19
1,Interface-Out,206.23
2,Interface-In,206.23
6,Input,207.46
1,Interface-In,207.46
3,Interface-Out,208.93
7,Output,208.93
6,Input,211.44
0,Interface-In,211.44
8,Storage,212.39
0,Interface-In,212.39
6,Input,212.92
8,Storage,212.92
0,Interface-Out,214.09
7,Output,214.09
8,Storage,214.85
0,Interface-In,214.85
6,Input,215.79
8,Storage,215.79
1,Interface-Out,224.02
2,Interface-In,224.02
0,Interface-Out,224.54
3,Interface-In,224.54
6,Input,225.2
1,Interface-In,225.2
2,Interface-Out,229.77
7,Output,229.77
8,Storage,230.63
0,Interface-In,230.63
6,Input,231.56
8,Storage,231.56
1,Interface-Out,233.0
2,Interface-In,233.0
6,Input,233.52
1,Interface-In,233.52
6,Input,234.62
1,Interface-In,234.62
3,Interface-Out,235.69
7,Output,235.69
2,Interface-Out,236.55
7,Output,236.55
6,Input,237.91
1,Interface-In,237.91
0,Interface-Out,240.12
3,Interface-In,240.12
1,Interface-Out,241.98
2,Interface-In,241.98
3,Interface-Out,246.22
7,Output,246.22
